,nombre,serving_size,kcal,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
14,Pollo hervido,100 g,215,15g,3.9g,84mg,67.00 mg,13.3 mg,86.00 mcg,0.00 mcg,0.400 mg,0,0.200 mg,0.060 mg,100.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.010 mg,0.0 mg,8.00 IU,0.27 mg,0.27 mg,0.2 mcg,88.00 mg,0.102 mg,0.91 mg,5.00 mg,0,83.00 mg,31.00 mg,3.6 mcg,0.69 mg,19.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20 g,0.0 g,0.00 g,0,0,0,0,0,0,14.60 g,3.920 g,5.500 g,2.980 g,84.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,65.80 g
17,jalapeño,100 g,29,0.4g,0.1g,0,3.00 mg,7.5 mg,27.00 mcg,0.00 mcg,1.280 mg,0.315 mg,0.070 mg,0.040 mg,1078.00 IU,54.00 mcg,67.00 mcg,561.00 mcg,105.00 mcg,861.00 mcg,0,0.00 mcg,0.419 mg,118.6 mg,0.00 IU,3.58 mg,3.58 mg,18.5 mcg,12.00 mg,0.046 mg,0.25 mg,15.00 mg,0.097 mg,26.00 mg,248.00 mg,0.4 mcg,0.14 mg,0.91 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50 g,2.8 g,4.12 g,2.63 g,0.00 g,1.48 g,0.00 g,0.00 g,0.00 g,0.37 g,0.092 g,0.029 g,0.112 g,0.00 mg,0.0 g,0.53 g,0.00 mg,0.00 mg,91.69 g
19,Salami de pavo,100 g,172,9.2g,2.8g,76mg,1107.00 mg,53.1 mg,10.00 mcg,0.00 mcg,3.979 mg,1.074 mg,0.303 mg,0.426 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.99 mcg,0.427 mg,0.0 mg,24.00 IU,0.24 mg,0.24 mg,1.3 mcg,40.00 mg,0.190 mg,1.25 mg,22.00 mg,0.020 mg,266.00 mg,216.00 mg,26.4 mcg,2.32 mg,19.20 g,0.947 g,1.067 g,1.486 g,0.159 g,2.497 g,0.759 g,0.477 g,0.000 g,0.796 g,1.219 g,1.442 g,0.443 g,0.607 g,0.637 g,0.681 g,0.681 g,0.174 g,0.605 g,0.813 g,1.55 g,0.1 g,1.12 g,0,0,0,0,0,0,9.21 g,2.783 g,3.172 g,2.466 g,76.00 mg,0.0 g,1.68 g,0.00 mg,0.00 mg,68.80 g
20,Uvas,100 g,57,0.5g,,0,1.00 mg,0,2.00 mcg,0,0,0,1.500 mg,0,67.00 IU,3.00 mcg,1.00 mcg,39.00 mcg,1.00 mcg,64.00 mcg,0,0,0,6.5 mg,0,0,0,0,37.00 mg,0.119 mg,0.26 mg,14.00 mg,1.973 mg,24.00 mg,203.00 mg,0,0.11 mg,0.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93 g,3.9 g,0,3.92 g,0,3.67 g,0.00 g,0.00 g,0.57 g,0.47 g,0,0,0,0,0,0.50 g,0,0,84.29 g
24,Queso crema bajo en grasa,100 g,201,15g,9.1g,54mg,359.00 mg,12.1 mg,19.00 mcg,0.00 mcg,0.125 mg,0.845 mg,0.185 mg,0.040 mg,552.00 IU,161.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,0.00 mcg,0,0.92 mcg,0.045 mg,0.0 mg,11.00 IU,0.27 mg,0.27 mg,1.1 mcg,148.00 mg,0.032 mg,0.17 mg,8.00 mg,0.011 mg,152.00 mg,247.00 mg,4.0 mcg,0.57 mg,7.85 g,0.243 g,0.311 g,0.680 g,0.055 g,1.725 g,0.187 g,0.232 g,0.000 g,0.429 g,0.869 g,0.750 g,0.252 g,0.384 g,0.880 g,0.495 g,0.308 g,0.091 g,0.401 g,0.522 g,8.13 g,0.0 g,5.82 g,0.00 g,0.00 g,0.00 g,5.82 g,0.00 g,0.00 g,15.28 g,9.098 g,3.996 g,0.658 g,54.00 mg,0.0 g,2.03 g,0.00 mg,0.00 mg,66.72 g
25,salsa verde,100 g,25,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,0,6.25 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,3.05 g,0,0,90.70 g
29,piñones,100 g,673,68g,4.9g,0,2.00 mg,55.8 mg,34.00 mcg,0.00 mcg,4.387 mg,0.313 mg,0.227 mg,0.364 mg,29.00 IU,1.00 mcg,0.00 mcg,17.00 mcg,0.00 mcg,9.00 mcg,0,0.00 mcg,0.094 mg,0.8 mg,0.00 IU,9.33 mg,9.33 mg,53.9 mcg,16.00 mg,1.324 mg,5.53 mg,251.00 mg,8.802 mg,575.00 mg,597.00 mg,0.7 mcg,6.45 mg,13.69 g,0.684 g,2.413 g,1.303 g,0.289 g,2.926 g,0.691 g,0.341 g,0,0.542 g,0.991 g,0.540 g,0.259 g,0.524 g,0.673 g,0.835 g,0.370 g,0.107 g,0.509 g,0.687 g,13.08 g,3.7 g,3.59 g,0.07 g,0.00 g,0.07 g,0.00 g,0.00 g,3.45 g,68.37 g,4.899 g,18.764 g,34.071 g,0.00 mg,0.0 g,2.59 g,0.00 mg,0.00 mg,2.28 g
30,Pasta sin grasa,100 g,371,1.5g,0.3g,0,6.00 mg,0,18.00 mcg,0.00 mcg,1.700 mg,0.431 mg,0.060 mg,0.090 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.142 mg,0.0 mg,0.00 IU,0.11 mg,0.11 mg,0.1 mcg,21.00 mg,0.289 mg,1.30 mg,53.00 mg,0.917 mg,189.00 mg,223.00 mg,63.2 mcg,1.41 mg,13.04 g,0.438 g,0.474 g,0.624 g,0.255 g,4.596 g,0.441 g,0.298 g,0.000 g,0.511 g,0.988 g,0.298 g,0.147 g,0.668 g,1.569 g,0.617 g,0.462 g,0.185 g,0.243 g,0.588 g,74.67 g,3.2 g,2.67 g,0.11 g,0.00 g,0.12 g,0.00 g,1.96 g,0.48 g,1.51 g,0.277 g,0.171 g,0.564 g,0.00 mg,0.0 g,0.88 g,0,0,9.90 g
33,Brócoli,100 g,30,0.8g,0.1g,0,7.00 mg,26.5 mg,104.00 mcg,0.00 mcg,0.459 mg,0,0.153 mg,0.100 mg,1720.00 IU,86.00 mcg,0.00 mcg,1032.00 mcg,0.00 mcg,957.00 mcg,0,0.00 mcg,0.074 mg,29.6 mg,0.00 IU,0.50 mg,0.50 mg,89.1 mcg,105.00 mg,0.064 mg,0.59 mg,19.00 mg,0,43.00 mg,274.00 mg,1.4 mcg,0.41 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67 g,2.6 g,0.88 g,0,0,0,0,0,0,0.76 g,0.116 g,0.053 g,0.347 g,0.00 mg,0.0 g,0.83 g,0.00 mg,0.00 mg,92.55 g
38,Grosella,100 g,283,0.3g,,0,8.00 mg,10.6 mg,10.00 mcg,0.00 mcg,1.615 mg,0.045 mg,0.142 mg,0.160 mg,73.00 IU,4.00 mcg,1.00 mcg,43.00 mcg,1.00 mcg,0.00 mcg,0,0.00 mcg,0.296 mg,4.7 mg,0.00 IU,0.11 mg,0.11 mg,3.3 mcg,86.00 mg,0.468 mg,3.26 mg,41.00 mg,0.469 mg,125.00 mg,892.00 mg,0.7 mcg,0.66 mg,4.08 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.08 g,6.8 g,67.28 g,0,0,0,0,0,0,0.27 g,0.028 g,0.047 g,0.180 g,0.00 mg,0.0 g,2.36 g,0.00 mg,0.00 mg,19.21 g
39,lentejas,100 g,106,0.6g,0.1g,0,11.00 mg,0,100.00 mcg,0.00 mcg,1.128 mg,0.578 mg,0.128 mg,0.228 mg,45.00 IU,2.00 mcg,0,0,0,0,0,0.00 mcg,0.190 mg,16.5 mg,0.00 IU,0,0,0,25.00 mg,0.352 mg,3.21 mg,37.00 mg,0.506 mg,173.00 mg,322.00 mg,0.6 mcg,1.51 mg,8.96 g,0.356 g,0.611 g,1.433 g,0.334 g,1.258 g,0.319 g,0.257 g,0,0.326 g,0.628 g,0.712 g,0.105 g,0.442 g,0.356 g,0.495 g,0.328 g,0,0.252 g,0.399 g,22.14 g,0,0,0,0,0,0,0,0,0.55 g,0.057 g,0.104 g,0.219 g,0.00 mg,0,1.00 g,0,0,67.34 g
44,Pescado crudo,100 g,108,2.4g,0.6g,50mg,71.00 mg,0,15.00 mcg,0.00 mcg,1.500 mg,0.750 mg,0.040 mg,0.010 mg,100.00 IU,30.00 mcg,0,0,0,0,0,2.00 mcg,0.300 mg,0.0 mg,0,0,0,0,21.00 mg,0.031 mg,0.46 mg,32.00 mg,0.013 mg,313.00 mg,404.00 mg,36.5 mcg,0.39 mg,20.21 g,1.222 g,1.210 g,2.070 g,0.217 g,3.017 g,0.970 g,0.595 g,0,0.931 g,1.643 g,1.856 g,0.598 g,0.789 g,0.715 g,0.825 g,0.886 g,0.226 g,0.682 g,1.041 g,0.00 g,0.0 g,0,0,0,0,0,0,0,2.41 g,0.609 g,0.728 g,0.518 g,50.00 mg,0,1.09 g,0,0,77.97 g
45,jugo de pera,100 g,47,0g,,0,8.00 mg,2.6 mg,4.00 mcg,0.00 mcg,0.300 mg,0,0.030 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.010 mg,33.8 mg,0.00 IU,0.09 mg,0.09 mg,3.4 mcg,12.00 mg,0.065 mg,0.00 mg,8.00 mg,0,12.00 mg,130.00 mg,0.4 mcg,0.08 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86 g,0.1 g,7.28 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.24 g,0.00 mg,0.00 mg,87.90 g
46,col de bruselas,100 g,43,0.3g,0.1g,0,25.00 mg,19.1 mg,61.00 mcg,0.00 mcg,0.745 mg,0.309 mg,0.090 mg,0.139 mg,754.00 IU,38.00 mcg,6.00 mcg,450.00 mcg,0.00 mcg,1590.00 mcg,0,0.00 mcg,0.219 mg,85.0 mg,0.00 IU,0.88 mg,0.88 mg,177.0 mcg,42.00 mg,0.070 mg,1.40 mg,23.00 mg,0.337 mg,69.00 mg,389.00 mg,1.6 mcg,0.42 mg,3.38 g,0,0.203 g,0,0.022 g,0,0,0.076 g,0,0.132 g,0.152 g,0.154 g,0.032 g,0.098 g,0,0,0.120 g,0.037 g,0,0.155 g,8.95 g,3.8 g,2.20 g,0.93 g,0.00 g,0.81 g,0.00 g,0.00 g,0.46 g,0.30 g,0.062 g,0.023 g,0.153 g,0.00 mg,0.0 g,1.37 g,0.00 mg,0.00 mg,86.00 g
48,aceite de mantequilla,100 g,876,99g,62g,256mg,2.00 mg,22.3 mg,0.00 mcg,0.00 mcg,0.003 mg,0.010 mg,0.005 mg,0.001 mg,3069.00 IU,840.00 mcg,0.00 mcg,193.00 mcg,0.00 mcg,0.00 mcg,0,0.01 mcg,0.001 mg,0.0 mg,0.00 IU,2.80 mg,2.80 mg,8.6 mcg,4.00 mg,0.001 mg,0.00 mg,0.00 mg,0.000 mg,3.00 mg,5.00 mg,0.0 mcg,0.01 mg,0.28 g,0.010 g,0.010 g,0.021 g,0.003 g,0.059 g,0.006 g,0.008 g,0,0.017 g,0.027 g,0.022 g,0.007 g,0.014 g,0.027 g,0.015 g,0.013 g,0.004 g,0.014 g,0.019 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.48 g,61.924 g,28.732 g,3.694 g,256.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.24 g
54,Tomate,100 g,16,0.2g,,0,42.00 mg,0,29.00 mcg,0.00 mcg,0.593 mg,0.186 mg,0.034 mg,0.046 mg,1496.00 IU,75.00 mcg,0,0,0,0,0,0.00 mcg,0.060 mg,16.0 mg,0.00 IU,0,0,0,5.00 mg,0.062 mg,0.47 mg,8.00 mg,0.088 mg,29.00 mg,212.00 mg,0.4 mcg,0.14 mg,1.16 g,0.033 g,0.029 g,0.161 g,0.015 g,0.427 g,0.029 g,0.018 g,0,0.027 g,0.042 g,0.042 g,0.010 g,0.030 g,0.022 g,0.031 g,0.029 g,0.008 g,0.020 g,0.030 g,3.18 g,0.9 g,0,0,0,0,0,0,0,0.19 g,0.025 g,0.028 g,0.076 g,0.00 mg,0,0.69 g,0,0,94.78 g
57,Harina de maní  baja grasa,100 g,428,22g,3g,0,1.00 mg,0,133.00 mcg,0.00 mcg,11.499 mg,1.543 mg,0.172 mg,0.457 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.304 mg,0.0 mg,0.00 IU,0,0,0,130.00 mg,2.039 mg,4.74 mg,48.00 mg,4.231 mg,508.00 mg,1358.00 mg,7.1 mcg,5.99 mg,33.80 g,1.343 g,4.042 g,4.123 g,0.433 g,7.063 g,2.037 g,0.854 g,0,1.188 g,2.191 g,1.213 g,0.415 g,1.752 g,1.492 g,1.665 g,1.158 g,0.328 g,1.374 g,1.418 g,31.27 g,15.8 g,0,0,0,0,0,0,0,21.90 g,3.040 g,10.866 g,6.921 g,0.00 mg,0,5.23 g,0.00 mg,0.00 mg,7.80 g
58,pescado ahumado,100 g,116,1g,0.2g,77mg,763.00 mg,92.3 mg,15.00 mcg,0.00 mcg,5.073 mg,0.170 mg,0.049 mg,0.047 mg,80.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.60 mcg,0.400 mg,0.0 mg,34.00 IU,0.55 mg,0.55 mg,0.1 mcg,49.00 mg,0.042 mg,1.40 mg,54.00 mg,0.030 mg,251.00 mg,415.00 mg,42.9 mcg,0.50 mg,25.23 g,1.526 g,1.509 g,2.583 g,0.270 g,3.766 g,1.211 g,0.743 g,0,1.162 g,2.050 g,2.317 g,0.747 g,0.985 g,0.892 g,1.029 g,1.106 g,0.283 g,0.852 g,1.300 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.96 g,0.173 g,0.157 g,0.321 g,77.00 mg,0.0 g,1.62 g,0.00 mg,0.00 mg,71.48 g
59,papas fritas,100 g,282,14g,2.5g,0,44.00 mg,0,15.00 mcg,0,2.717 mg,0.610 mg,0.048 mg,0.120 mg,0,0,0,0,0,0,0,0,0.220 mg,1.6 mg,0,0.98 mg,0.98 mg,28.8 mcg,14.00 mg,0.111 mg,0.72 mg,27.00 mg,0.179 mg,115.00 mg,492.00 mg,0.4 mcg,0.46 mg,3.41 g,0.111 g,0.182 g,0.747 g,0.030 g,0.505 g,0.101 g,0.050 g,0,0.121 g,0.192 g,0.141 g,0.040 g,0.151 g,0.111 g,0.131 g,0.111 g,0.050 g,0.091 g,0.303 g,35.20 g,3.5 g,0.85 g,0.26 g,0.00 g,0.41 g,0.00 g,0.00 g,0.18 g,14.13 g,2.534 g,3.408 g,6.548 g,0.00 mg,0,1.20 g,0,0,46.05 g
60,pavo cocinado,100 g,203,10g,2.7g,93mg,78.00 mg,78.2 mg,7.00 mcg,0.00 mcg,8.724 mg,1.193 mg,0.211 mg,0.077 mg,79.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.34 mcg,0.633 mg,0.0 mg,8.00 IU,0.11 mg,0.11 mg,0.0 mcg,28.00 mg,0.151 mg,1.52 mg,30.00 mg,0.011 mg,254.00 mg,294.00 mg,31.1 mcg,3.11 mg,27.37 g,1.706 g,1.990 g,2.647 g,0.290 g,0,1.500 g,0.811 g,0.228 g,1.227 g,2.262 g,2.452 g,0.806 g,1.068 g,1.213 g,1.164 g,1.258 g,0.312 g,0.971 g,1.270 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.40 g,2.669 g,3.458 g,2.917 g,93.00 mg,0.0 g,1.26 g,0.00 mg,0.00 mg,62.07 g
